,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
6762,Private room,San Francisco,Western Addition,106,4.5,2,1.0,90.0,37.771066,-122.429492,0101000020E6100000317903CC7C9B5EC05D876A4AB2E24240
6763,Private room,San Francisco,Western Addition,98,5.0,1,1.0,95.0,37.769971999999996,-122.429773,0101000020E61000000BED9C66819B5EC0F96A47718EE24240
6764,Private room,San Francisco,Potrero Hill,96,5.0,2,1.0,97.0,37.762395,-122.40502099999999,0101000020E61000005E4C33DDEB995EC024D1CB2896E14240
6765,Private room,San Francisco,Western Addition,53,4.5,2,1.0,90.0,37.781318,-122.432703,0101000020E61000006478EC67B19B5EC058E36C3A02E44240
6766,Private room,San Francisco,Potrero Hill,17,5.0,2,1.0,95.0,37.759147,-122.39272700000001,0101000020E610000065506D7022995EC0A2ED98BA2BE14240
6767,Private room,San Francisco,South of Market,0,0.0,2,1.0,88.0,37.777373,-122.39661100000001,0101000020E6100000F78E1A1362995EC08EE55DF580E34240
6768,Private room,San Francisco,Potrero Hill,2,0.0,2,1.0,90.0,37.752604,-122.397598,0101000020E61000001FBDE13E72995EC05D6BEF5355E04240
6769,Private room,San Francisco,South of Market,0,0.0,1,1.0,100.0,37.772708,-122.393759,0101000020E61000005DE0F25833995EC0C5AD8218E8E24240
6770,Private room,San Francisco,South of Market,0,0.0,2,1.0,85.0,37.779401,-122.411999,0101000020E610000005BF0D315E9A5EC01FBC7669C3E34240
6771,Private room,San Francisco,South of Market,5,5.0,2,1.0,100.0,37.780953000000004,-122.404568,0101000020E610000085402E71E4995EC0465B9544F6E34240
6772,Private room,San Francisco,Western Addition,7,5.0,2,1.0,99.0,37.78713,-122.44620400000001,0101000020E61000000AD6389B8E9C5EC0A9D903ADC0E44240
6773,Private room,San Francisco,Downtown/Civic Center,0,0.0,2,1.0,100.0,37.780342,-122.42338899999999,0101000020E61000001D1F2DCE189B5EC0FDD8243FE2E34240
