,Unnamed: 0,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,price,location
45,45,Entire home/apt,Amsterdam,Centrum West,25,4.5,3,186.0,0101000020E6100000DE02098A1F831340FCDEA63FFB2F4A40
46,46,Entire home/apt,Amsterdam,Bijlmer Centrum,8,4.5,3,156.0,0101000020E61000002882380F27D0134056B950F9D7284A40
47,47,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,2,0.0,4,179.0,0101000020E6100000793E03EACD081440E5D2F885572C4A40
48,48,Entire home/apt,Amsterdam,Bijlmer Oost,0,0.0,4,174.0,0101000020E6100000209C4F1DABE41340ECC20FCEA7284A40
49,49,Entire home/apt,Amsterdam,Oud Oost,0,0.0,4,132.0,0101000020E6100000145CACA8C1A413408EE55DF5802D4A40
50,50,Entire home/apt,Amsterdam,Bijlmer Centrum,17,4.5,4,108.0,0101000020E610000099D6A6B1BDC61340A94E07B29E284A40
51,51,Entire home/apt,Amsterdam,Centrum Oost,21,4.0,4,541.0,0101000020E61000006AF5D555818A1340C7A17E17B62E4A40
52,52,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,11,5.0,6,594.0,0101000020E610000083DA6FED44691340B5519D0E642D4A40
53,53,Entire home/apt,Amsterdam,Centrum Oost,1,0.0,6,541.0,0101000020E6100000F5F411F8C39F134009151C5E102F4A40
54,54,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,13,4.5,6,599.0,0101000020E6100000F913950D6B7A1340D8101C97712D4A40
55,55,Entire home/apt,Amsterdam,Westerpark,62,5.0,16,528.0,0101000020E61000006F4BE482338813407FA5F3E159324A40
56,56,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,6,541.0,0101000020E61000004CE2AC889A981340FCDF1115AA2D4A40
57,57,Entire home/apt,Amsterdam,Centrum West,21,5.0,4,541.0,0101000020E6100000672618CE358C1340BF7FF3E2C42F4A40
58,58,Entire home/apt,Amsterdam,Watergraafsmeer,0,0.0,4,600.0,0101000020E6100000BF2CEDD45CBE134039B69E211C2D4A40
59,59,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,23,5.0,12,648.0,0101000020E610000021C9ACDEE1061440D236FE44652D4A40
60,60,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,0,0.0,4,541.0,0101000020E610000082C476F7007D13409E5C5320B32B4A40
61,61,Entire home/apt,Amsterdam,Centrum Oost,16,4.5,10,587.0,0101000020E61000008F8AFF3BA29213401FBB0B94142E4A40
62,62,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,600.0,0101000020E6100000AF795567B5A0134011A8FE4124314A40
63,63,Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0.0,8,661.0,0101000020E6100000B760A92EE0751340361D01DC2C2E4A40
64,64,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,2,361.0,0101000020E61000003813D385589D134090149161152D4A40
65,65,Entire home/apt,Amsterdam,De Baarsjes / Oud West,6,4.5,4,384.0,0101000020E6100000DFE17668586C1340598638D6C52D4A40
66,66,Entire home/apt,Amsterdam,Watergraafsmeer,18,4.0,7,361.0,0101000020E6100000B64C86E3F9AC1340A48E8EAB912B4A40
67,67,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,7,4.5,14,420.0,0101000020E6100000325706D5060714401344DD07202D4A40
68,68,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0.0,6,331.0,0101000020E6100000462234828D7B1340E0BE0E9C332C4A40
69,69,Entire home/apt,Amsterdam,Noord West,3,4.5,6,361.0,0101000020E610000030D461855B9E13408DEE2076A6344A40
70,70,Entire home/apt,Amsterdam,De Baarsjes / Oud West,7,4.5,4,209.0,0101000020E610000002B9C491078213400056478E742E4A40
71,71,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,2,239.0,0101000020E6100000E316F37343831340C5AC1743392D4A40
72,72,Entire home/apt,Amsterdam,Watergraafsmeer,2,0.0,5,301.0,0101000020E6100000809BC58B85C1134096ED43DE722D4A40
73,73,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,1,0.0,4,216.0,0101000020E61000004837C2A222EE13403BFE0B04012E4A40
74,74,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,8,222.0,0101000020E6100000DAAD65321CFF1340DBE044F46B2D4A40
75,75,Entire home/apt,Amsterdam,Osdorp,0,0.0,4,240.0,0101000020E6100000F0A2AF20CD381340643BDF4F8D2D4A40
76,76,Entire home/apt,Amsterdam,Noord Oost,0,0.0,6,252.0,0101000020E6100000FB58C16F43BC1340AAB8718BF9334A40
77,77,Entire home/apt,Amsterdam,Noord Oost,0,0.0,5,240.0,0101000020E610000059FD118601BB13408BA548BE12344A40
78,78,Entire home/apt,Amsterdam,Centrum Oost,0,0.0,4,288.0,0101000020E61000004E2A1A6B7F971340D3F71A82E32E4A40
79,79,Entire home/apt,Amsterdam,Centrum Oost,17,5.0,2,186.0,0101000020E6100000E6E61BD13D8B134046990D32C92E4A40
80,80,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,3,203.0,0101000020E61000008BFB8F4C879E134006DA1D520C2C4A40
81,81,Entire home/apt,Amsterdam,Oud Oost,4,5.0,4,193.0,0101000020E61000007FD93D7958A81340488AC8B08A2D4A40
82,82,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,11,4.5,4,201.0,0101000020E61000007F33315D88051440DCB75A272E2D4A40
83,83,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,10,5.0,4,193.0,0101000020E61000004A27124C3503144012842BA0502D4A40
84,84,Entire home/apt,Amsterdam,Slotervaart,1,0.0,6,193.0,0101000020E6100000CF6916687758134048A46DFC892E4A40
85,85,Entire home/apt,Amsterdam,Oud Oost,0,0.0,4,204.0,0101000020E61000002EA9DA6E82AF1340F30181CEA42D4A40
86,86,Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0.0,2,193.0,0101000020E6100000E542E55FCB7B134098F8A3A8332F4A40
87,87,Entire home/apt,Amsterdam,Oud Noord,2,0.0,6,203.0,0101000020E6100000EA25C632FDC213408FC6A17E17324A40
88,88,Entire home/apt,Amsterdam,Bos en Lommer,0,0.0,2,191.0,0101000020E61000002C9FE579706713402426A8E15B304A40
89,89,Entire home/apt,Amsterdam,Slotervaart,1,0.0,2,150.0,0101000020E6100000EDF318E599571340467C2766BD2C4A40
90,90,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,8,4.5,4,180.0,0101000020E61000003C670B08AD771340D3F544D785294A40
91,91,Entire home/apt,Amsterdam,De Baarsjes / Oud West,1,0.0,4,184.0,0101000020E6100000FD4FFEEE1D751340E8A1B60DA32E4A40
92,92,Entire home/apt,Amsterdam,Westerpark,9,5.0,2,168.0,0101000020E6100000293FA9F6E9781340E411DC48D9304A40
93,93,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,15,4.5,3,150.0,0101000020E6100000628731E9EFC513404E9D47C5FF2D4A40
94,94,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,3,162.0,0101000020E6100000967840D9949B1340560DC2DCEE2B4A40
95,95,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,4,4.5,4,150.0,0101000020E6100000FCE3BD6A65A21340BD19355F252D4A40
96,96,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,9,5.0,4,145.0,0101000020E610000005C1E3DBBB061440A71FD4450A2D4A40
97,97,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,4,150.0,0101000020E61000005E2C0C91D3071440CE001764CB2C4A40
98,98,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,2,150.0,0101000020E6100000338D2617637013400740DCD5AB2E4A40
99,99,Entire home/apt,Amsterdam,Oostelijk Havengebied / Indische Buurt,0,0.0,2,162.0,0101000020E6100000CCD1E3F736BD1340F7CB272B862F4A40
100,100,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,4,4.5,7,168.0,0101000020E610000061889CBE9EFF1340F05014E8132D4A40
101,101,Entire home/apt,Amsterdam,Centrum West,23,4.5,2,177.0,0101000020E610000050357A3540891340EDB776A224304A40
102,102,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,5,168.0,0101000020E6100000780B24287EFC1340ACC95356D32D4A40
103,103,Entire home/apt,Amsterdam,Noord Oost,11,4.5,6,168.0,0101000020E6100000F5D555815A1C14400E4DD9E907354A40
104,104,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,4,133.0,0101000020E6100000E14389963C6E134030A182C30B2E4A40
105,105,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,1,0.0,4,141.0,0101000020E610000034492C29776F1340C58CF0F6202A4A40
106,106,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,2,143.0,0101000020E6100000A8FE4124438E1340A296E656082D4A40
107,107,Entire home/apt,Amsterdam,De Baarsjes / Oud West,80,5.0,2,144.0,0101000020E6100000D1031F8315671340AE6186C6132F4A40
108,108,Entire home/apt,Amsterdam,Westerpark,0,0.0,3,144.0,0101000020E61000002CBB6070CD7D13401AA54BFF92304A40
109,109,Entire home/apt,Amsterdam,De Baarsjes / Oud West,0,0.0,3,144.0,0101000020E6100000CA703C9F01651340BD8DCD8E542F4A40
110,110,Entire home/apt,Amsterdam,Westerpark,8,5.0,2,137.0,0101000020E6100000622F14B01D7C1340992CEE3F32314A40
111,111,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,0,0.0,2,144.0,0101000020E6100000828FC18A538D13400C1EA67D732D4A40
