,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
38,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,4,2.0,594.0,52.355169000000004,4.883219,0101000020E6100000C4D2C08F6A881340C9C6832D762D4A40
39,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,23,4.5,4,4.0,661.0,52.35494,4.902866,0101000020E61000006DAE9AE7889C1340680586AC6E2D4A40
40,Entire home/apt,Amsterdam,De Aker / Nieuw Sloten,0,0.0,4,2.0,361.0,52.346007,4.8118300000000005,0101000020E61000008FA50F5D503F1340F29716F5492C4A40
41,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,17,4.5,4,2.0,331.0,52.354110999999996,4.902925,0101000020E610000094F6065F989C1340B2135E82532D4A40
42,Entire home/apt,Amsterdam,Centrum Oost,15,5.0,6,4.0,409.0,52.368309,4.909591000000001,0101000020E610000099F1B6D26BA3134047E9D2BF242F4A40
43,Entire home/apt,Amsterdam,Noord West,0,0.0,5,2.0,210.0,52.414253,4.883661,0101000020E6100000AC00DF6DDE8813408CA2073E06354A40
44,Entire home/apt,Amsterdam,Centrum Oost,0,0.0,4,2.0,270.0,52.364897,4.895932,0101000020E61000006EC2BD326F9513404AB4E4F1B42E4A40
45,Entire home/apt,Amsterdam,Centrum West,25,4.5,3,1.0,186.0,52.374855,4.87805,0101000020E6100000DE02098A1F831340FCDEA63FFB2F4A40
46,Entire home/apt,Amsterdam,Bijlmer Centrum,8,4.5,3,0.0,156.0,52.319091,4.9532739999999995,0101000020E61000002882380F27D0134056B950F9D7284A40
47,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,2,0.0,4,4.0,179.0,52.346421,5.008598,0101000020E6100000793E03EACD081440E5D2F885572C4A40
48,Entire home/apt,Amsterdam,Bijlmer Oost,0,0.0,4,3.0,174.0,52.317621,4.9733089999999995,0101000020E6100000209C4F1DABE41340ECC20FCEA7284A40
49,Entire home/apt,Amsterdam,Oud Oost,0,0.0,4,2.0,132.0,52.355498,4.910895,0101000020E6100000145CACA8C1A413408EE55DF5802D4A40
50,Entire home/apt,Amsterdam,Bijlmer Centrum,17,4.5,4,2.0,108.0,52.317343,4.944083,0101000020E610000099D6A6B1BDC61340A94E07B29E284A40
51,Entire home/apt,Amsterdam,Centrum Oost,21,4.0,4,2.0,541.0,52.364932,4.885259,0101000020E61000006AF5D555818A1340C7A17E17B62E4A40
52,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,11,5.0,6,4.0,594.0,52.354616,4.852802,0101000020E610000083DA6FED44691340B5519D0E642D4A40
53,Entire home/apt,Amsterdam,Centrum Oost,1,0.0,6,3.0,541.0,52.367687,4.906021,0101000020E6100000F5F411F8C39F134009151C5E102F4A40
54,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,13,4.5,6,4.0,599.0,52.355028999999995,4.869549,0101000020E6100000F913950D6B7A1340D8101C97712D4A40
55,Entire home/apt,Amsterdam,Westerpark,62,5.0,16,10.0,528.0,52.393368,4.8830089999999995,0101000020E61000006F4BE482338813407FA5F3E159324A40
56,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,6,3.0,541.0,52.356753000000005,4.899026999999999,0101000020E61000004CE2AC889A981340FCDF1115AA2D4A40
57,Entire home/apt,Amsterdam,Centrum West,21,5.0,4,3.0,541.0,52.373196,4.886924,0101000020E6100000672618CE358C1340BF7FF3E2C42F4A40
58,Entire home/apt,Amsterdam,Watergraafsmeer,0,0.0,4,3.0,600.0,52.352421,4.935901,0101000020E6100000BF2CEDD45CBE134039B69E211C2D4A40
59,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,23,5.0,12,0.0,648.0,52.354653000000006,5.006721,0101000020E610000021C9ACDEE1061440D236FE44652D4A40
60,Entire home/apt,Amsterdam,Buitenveldert / Zuidas,0,0.0,4,5.0,541.0,52.341404,4.872074,0101000020E610000082C476F7007D13409E5C5320B32B4A40
61,Entire home/apt,Amsterdam,Centrum Oost,16,4.5,10,4.0,587.0,52.360003000000006,4.893197,0101000020E61000008F8AFF3BA29213401FBB0B94142E4A40
62,Entire home/apt,Amsterdam,Oud Noord,0,0.0,4,3.0,600.0,52.383919,4.906942,0101000020E6100000AF795567B5A0134011A8FE4124314A40
63,Entire home/apt,Amsterdam,De Baarsjes / Oud West,2,0.0,8,5.0,661.0,52.360744,4.865113,0101000020E6100000B760A92EE0751340361D01DC2C2E4A40
64,Entire home/apt,Amsterdam,De Pijp / Rivierenbuurt,1,0.0,2,1.0,361.0,52.352215,4.903658,0101000020E61000003813D385589D134090149161152D4A40
65,Entire home/apt,Amsterdam,De Baarsjes / Oud West,6,4.5,4,2.0,384.0,52.3576,4.855805999999999,0101000020E6100000DFE17668586C1340598638D6C52D4A40
66,Entire home/apt,Amsterdam,Watergraafsmeer,18,4.0,7,3.0,361.0,52.340383,4.918922,0101000020E6100000B64C86E3F9AC1340A48E8EAB912B4A40
67,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,7,4.5,14,3.0,420.0,52.352540000000005,5.006862,0101000020E6100000325706D5060714401344DD07202D4A40
68,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,0,0.0,6,3.0,331.0,52.345325,4.870657,0101000020E6100000462234828D7B1340E0BE0E9C332C4A40
69,Entire home/apt,Amsterdam,Noord West,3,4.5,6,4.0,361.0,52.41133,4.904646,0101000020E610000030D461855B9E13408DEE2076A6344A40
70,Entire home/apt,Amsterdam,De Baarsjes / Oud West,7,4.5,4,2.0,209.0,52.362932,4.876982,0101000020E610000002B9C491078213400056478E742E4A40
71,Entire home/apt,Amsterdam,Noord-West / Noord-Midden,2,0.0,2,1.0,239.0,52.35331,4.8781870000000005,0101000020E6100000E316F37343831340C5AC1743392D4A40
72,Entire home/apt,Amsterdam,Watergraafsmeer,2,0.0,5,3.0,301.0,52.355068,4.938986,0101000020E6100000809BC58B85C1134096ED43DE722D4A40
73,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,1,0.0,4,4.0,216.0,52.359406,4.982554,0101000020E61000004837C2A222EE13403BFE0B04012E4A40
74,Entire home/apt,Amsterdam,Ijburg / Eiland Zeeburg,0,0.0,8,5.0,222.0,52.354857,4.999130999999999,0101000020E6100000DAAD65321CFF1340DBE044F46B2D4A40
75,Entire home/apt,Amsterdam,Osdorp,0,0.0,4,2.0,240.0,52.355875,4.80547,0101000020E6100000F0A2AF20CD381340643BDF4F8D2D4A40
