room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
7551708,1290,25166173,Shared room,,Nairobi,,Nairobi,0,0.0,3,1.0,,10.0,,Super memories all the times,2017-05-13 00:32:05.791043,-1.281417,36.906522,0101000020E6100000618DB3E9087442406B9DB81CAF80F4BF
4008051,1290,20782499,Shared room,,Nairobi,,Nairobi,0,0.0,2,1.0,,34.0,,Studio to let Denis Pritt Kilimani,2017-05-13 00:31:53.428557,-1.280924,36.816065,0101000020E6100000833463D17468424085950A2AAA7EF4BF
11411049,1290,59895185,Shared room,,Nairobi,,Nairobi,0,0.0,2,1.0,,40.0,,"Two Person room, in Furnished home Langata",2017-05-13 00:31:51.784230,-1.324698,36.773356,0101000020E61000002B155454FD624240C939B187F631F5BF
3929385,1290,20356519,Shared room,,Nairobi,,Nairobi,1,0.0,3,1.0,,10.0,,Clean Secure Home-Accesible24Hrs ,2017-05-13 00:31:51.779788,-1.2188,36.889749,0101000020E61000000953944BE371424039D6C56D3480F3BF
8876929,1290,46456044,Shared room,,Nairobi,,Nairobi,0,0.0,2,1.0,,30.0,,Large one bedroom apartment,2017-05-13 00:31:51.777285,-1.32412,36.881563,0101000020E61000008C2E6F0ED77042401DACFF73982FF5BF
11895201,1290,61329596,Shared room,,Nairobi,,Nairobi,4,5.0,2,1.0,,28.0,,SHARED ROOM-KILIMANI VALLEY ARCADE,2017-05-13 00:31:51.762744,-1.29169,36.767592,0101000020E6100000EB55647440624240B41F2922C3AAF4BF
17328602,1290,51321536,Shared room,,Nairobi,,Nairobi,1,0.0,4,1.0,,40.0,,3 Bedroom Apartment,2017-05-13 00:31:51.753045,-1.263699,36.816925,0101000020E6100000742497FF9068424074CE4F711C38F4BF
4884517,1290,25129214,Shared room,,Nairobi,,Nairobi,0,0.0,2,1.0,,375.0,,SALTLICK GAME LODGE ,2017-05-13 00:31:49.904442,-1.324789,36.848643,0101000020E61000005B7D7555A06C4240D49B51F35532F5BF
13906671,1290,15459719,Shared room,,Nairobi,,Nairobi,0,0.0,16,1.0,,500.0,,Elishama  Greens,2017-05-13 00:31:49.897746,-1.339609,36.746885,0101000020E6100000BD6F7CED995F424013D6C6D8096FF5BF
1495781,1290,7994625,Shared room,,Nairobi,,Nairobi,0,0.0,2,1.0,,184.0,,VOI SAFARI LODGE,2017-05-13 00:31:48.296145,-1.280705,36.826915,0101000020E610000032C9C859D8694240CB2DAD86C47DF4BF
