,room_type,city,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude,location
1328,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,35.0,-1.217343,36.887603000000006,0101000020E61000006E6AA0F99C714240823B50A73C7AF3BF
1329,Entire home/apt,Nairobi,Nairobi,0,0.0,5,1.0,35.0,-1.166982,36.920346,0101000020E61000009180D1E5CD754240AC545051F5ABF2BF
1330,Entire home/apt,Nairobi,Nairobi,0,0.0,4,2.0,30.0,-1.217402,36.888071999999994,0101000020E6100000253FE257AC714240215C01857A7AF3BF
1331,Entire home/apt,Nairobi,Nairobi,0,0.0,3,2.0,30.0,-1.222274,36.904716,0101000020E61000007F15E0BBCD73424086048C2E6F8EF3BF
1332,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,35.0,-1.218261,36.887782,0101000020E61000001EFD2FD7A271424048E00F3FFF7DF3BF
1333,Entire home/apt,Nairobi,Nairobi,0,0.0,4,2.0,40.0,-1.218898,36.896381,0101000020E6100000BDE0D39CBC724240938E72309B80F3BF
1334,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,25.0,-1.214677,36.882671,0101000020E61000005610035DFB70424018416326516FF3BF
1335,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,30.0,-1.241745,36.899474,0101000020E610000018CDCAF621734240598B4F0130DEF3BF
1336,Entire home/apt,Nairobi,Nairobi,0,0.0,4,2.0,30.0,-1.217802,36.89914,0101000020E61000004243FF0417734240E50D30F31D7CF3BF
1337,Entire home/apt,Nairobi,Nairobi,0,0.0,4,2.0,25.0,-1.284294,36.891462,0101000020E610000039D0436D1B724240342F87DD778CF4BF
1338,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,25.0,-1.218293,36.894067,0101000020E610000067B796C970724240B421FFCC207EF3BF
1339,Entire home/apt,Nairobi,Nairobi,0,0.0,5,5.0,30.0,-1.248522,36.987640999999996,0101000020E6100000299831056B7E42405A626534F2F9F3BF
1340,Entire home/apt,Nairobi,Nairobi,1,0.0,4,2.0,30.0,-1.217906,36.898361,0101000020E61000003D80457EFD72424083A279008B7CF3BF
1341,Entire home/apt,Nairobi,Nairobi,0,0.0,5,3.0,25.0,-1.211748,36.837164,0101000020E6100000BCB1A030286B424000E5EFDE5163F3BF
1342,Entire home/apt,Nairobi,Nairobi,0,0.0,4,2.0,30.0,-1.226184,36.907742999999996,0101000020E6100000231631EC30744240300E2E1D739EF3BF
1343,Entire home/apt,Nairobi,Nairobi,14,4.5,5,3.0,40.0,-1.307727,36.907628,0101000020E61000008A7780272D744240018A912573ECF4BF
1344,Entire home/apt,Nairobi,Nairobi,0,0.0,1,1.0,23.0,-1.186696,36.903293,0101000020E610000055DAE21A9F7342404AB4E4F1B4FCF2BF
1345,Entire home/apt,Nairobi,Nairobi,1,0.0,2,2.0,26.0,-1.327661,36.882375,0101000020E61000006DE7FBA9F170424064CBF275193EF5BF
1346,Entire home/apt,Nairobi,Nairobi,0,0.0,5,5.0,30.0,-1.249533,36.989596,0101000020E61000004F20EC14AB7E4240425DA45016FEF3BF
1347,Entire home/apt,Nairobi,Nairobi,1,0.0,1,1.0,10.0,-1.3051629999999999,36.937609,0101000020E6100000B7B75B92037842401F300F99F2E1F4BF
1348,Entire home/apt,Nairobi,Nairobi,130,5.0,6,3.0,40.0,-1.326591,36.880807,0101000020E61000003F8BA548BE704240DEAF027CB739F5BF
1349,Entire home/apt,Nairobi,Nairobi,0,0.0,6,3.0,28.0,-1.3092700000000002,36.920006,0101000020E6100000D80FB1C1C275424089247A19C5F2F4BF
1350,Entire home/apt,Nairobi,Nairobi,2,0.0,4,2.0,30.0,-1.289605,36.795345000000005,0101000020E6100000C0046EDDCD65424018213CDA38A2F4BF
1351,Entire home/apt,Nairobi,Nairobi,2,0.0,3,2.0,25.0,-1.309955,36.911456,0101000020E61000001ADF1797AA744240F6B4C35F93F5F4BF
1352,Entire home/apt,Nairobi,Nairobi,24,5.0,2,1.0,33.0,-1.27919,36.779615,0101000020E61000004B3CA06CCA63424081ECF5EE8F77F4BF
1353,Entire home/apt,Nairobi,Nairobi,1,0.0,4,2.0,25.0,-1.333512,36.884333000000005,0101000020E610000004E3E0D231714240452DCDAD1056F5BF
1354,Entire home/apt,Nairobi,Nairobi,1,0.0,4,2.0,33.0,-1.327075,36.785143,0101000020E610000077D7D9907F6442405D6DC5FEB23BF5BF
1355,Entire home/apt,Nairobi,Nairobi,0,0.0,3,1.0,40.0,-1.292367,36.822961,0101000020E610000015713AC956694240C6DFF60489ADF4BF
1356,Entire home/apt,Nairobi,Nairobi,1,0.0,2,0.0,35.0,-1.2988870000000001,36.792741,0101000020E610000063997E89786542405D3123BC3DC8F4BF
1357,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,35.0,-1.307584,36.801469,0101000020E610000000E1438996664240A75D4C33DDEBF4BF
1358,Entire home/apt,Nairobi,Nairobi,0,0.0,3,1.0,18.0,-1.260731,36.827024,0101000020E6100000E98024ECDB694240A1DAE044F42BF4BF
1359,Entire home/apt,Nairobi,Nairobi,0,0.0,2,0.0,27.0,-1.220731,36.825545,0101000020E61000002B306475AB694240FD69A33A1D88F3BF
1360,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,30.0,-1.2175770000000001,36.888335,0101000020E6100000327216F6B4714240E6C93505327BF3BF
1361,Entire home/apt,Nairobi,Nairobi,1,0.0,2,1.0,25.0,-1.303579,36.777951,0101000020E6100000FC71FBE593634240C4094CA775DBF4BF
1362,Entire home/apt,Nairobi,Nairobi,0,0.0,2,0.0,35.0,-1.307554,36.799482,0101000020E6100000CEDE196D5566424052103CBEBDEBF4BF
1363,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,19.0,-1.312936,36.80754,0101000020E61000001E1B81785D6742405EDBDB2DC901F5BF
1364,Entire home/apt,Nairobi,Nairobi,0,0.0,2,2.0,12.0,-1.287164,36.886018,0101000020E61000006BD5AE0969714240AD6A49473998F4BF
1365,Entire home/apt,Nairobi,Nairobi,0,0.0,8,6.0,13.0,-1.235635,36.748669,0101000020E6100000B743C362D45F4240F7AFAC3429C5F3BF
1366,Entire home/apt,Nairobi,Nairobi,0,0.0,2,1.0,34.0,-1.3057860000000001,36.799523,0101000020E61000002DB308C556664240CA3159DC7FE4F4BF
