room_id,survey_id,host_id,room_type,country,city,borough,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,bathrooms,price,minstay,name,last_modified,latitude,longitude,location
16655068,1413,86707539,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,75.0,,Attractive Serviced 2BR in Westland,2017-06-29 22:05:45.162930,-1.263988,36.75566,0101000020E61000009B728577B96042404A95287B4B39F4BF
7809870,1413,40347008,Entire home/apt,,Nairobi,,Nairobi,7,5.0,2,1.0,,65.0,,One bedroom apartment In Lavington,2017-06-29 22:05:44.066463,-1.291757,36.76833,0101000020E610000091442FA358624240AE10566309ABF4BF
16971074,1413,112429661,Entire home/apt,,Nairobi,,Nairobi,1,0.0,8,4.0,,70.0,,Amazing Bungalow with Beautiful Gardens,2017-06-29 22:05:41.013544,-1.27901,36.761578,0101000020E610000032AD4D637B614240821C9430D376F4BF
11721243,1413,62329998,Entire home/apt,,Nairobi,,Nairobi,0,0.0,3,2.0,,70.0,,Slim Apartments,2017-06-29 22:05:39.425362,-1.305396,36.772945,0101000020E6100000A94D9CDCEF624240784485EAE6E2F4BF
15755787,1413,47859332,Entire home/apt,,Nairobi,,Nairobi,1,0.0,4,4.0,,70.0,,Spacious family set up 2br elegantly furnished,2017-06-29 22:05:39.420112,-1.25773,36.800281,0101000020E61000001A4E999B6F664240562B137EA91FF4BF
14533477,1413,85113980,Entire home/apt,,Nairobi,,Nairobi,0,0.0,3,2.0,,75.0,,"WARM,SECURE  TWO BEDROOM FURNISHED APARTMENT",2017-06-29 22:05:39.415300,-1.316026,36.910476,0101000020E61000007EE5417A8A7442409CF86A47710EF5BF
19446531,1413,56671152,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,70.0,,2 Bedroom Furnished Apartment to Let in Kilimani,2017-06-29 22:05:39.399187,-1.296636,36.792903,0101000020E61000003DF372D87D654240620FED6305BFF4BF
18889669,1413,131627955,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,2.0,,70.0,,Riara Valley Apt,2017-06-29 22:05:39.389055,-1.297437,36.770881,0101000020E6100000CC0D863AAC624240F6ECB94C4DC2F4BF
16527142,1413,108695199,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,1.0,,80.0,,Roof top apartment,2017-06-29 22:05:37.754215,-1.296331,36.777351,0101000020E6100000A741D13C80634240D6A71C93C5BDF4BF
16059308,1413,104255056,Entire home/apt,,Nairobi,,Nairobi,3,4.5,2,1.0,,80.0,,Homely Furnished Apartment,2017-06-29 22:05:37.740396,-1.292715,36.779872,0101000020E610000076887FD8D26342403BC780ECF5AEF4BF
13231453,1413,74261729,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,65.0,,"Apt D5, security 24/7,  close prox. hotels, transp",2017-06-29 22:05:37.737856,-1.299999,36.81556,0101000020E61000007FF6234564684240C1525DC0CBCCF4BF
18484884,1413,128233573,Entire home/apt,,Nairobi,,Nairobi,1,0.0,2,1.0,,70.0,,Cozy 1 bedroom fully furnished and serviced arpt,2017-06-29 22:05:36.909771,-1.293958,36.782734,0101000020E6100000CFBBB1A030644240705CC64D0DB4F4BF
9776253,1413,677277,Entire home/apt,,Nairobi,,Nairobi,44,4.5,4,2.0,,68.0,,Brand New Aprtmnt. Central Location,2017-06-29 22:05:36.905356,-1.29941,36.791356,0101000020E610000027BF45274B6542409886E12362CAF4BF
14253428,1413,86707539,Entire home/apt,,Nairobi,,Nairobi,3,4.5,4,2.0,,75.0,,Cozy 2BD with Pool Gym & Restaurant,2017-06-29 22:05:36.898711,-1.299686,36.778608,0101000020E6100000B5334C6DA9634240DA1A118C83CBF4BF
19115412,1413,44714275,Entire home/apt,,Nairobi,,Nairobi,2,0.0,3,2.0,,70.0,,Quiet Creative House Near Giraffe Center,2017-06-29 22:05:36.895123,-1.368451,36.750109,0101000020E6100000B7B75B92036042401FDB32E02CE5F5BF
2828485,1413,14469495,Entire home/apt,,Nairobi,,Nairobi,14,4.5,4,2.0,,60.0,,Home away from home 2Bd Rm Apt,2017-06-29 22:04:30.995190,-1.338643,36.712702,0101000020E61000009BE5B2D1395B42402B4F20EC146BF5BF
9085916,1413,34357278,Entire home/apt,,Nairobi,,Nairobi,2,0.0,2,1.0,,28.0,,Fully furnished cosy 1bd apartment,2017-06-29 22:03:29.082731,-1.219236,36.885806,0101000020E6100000E04C4C176271424096B1A19BFD81F3BF
11616789,1413,61510163,Entire home/apt,,Nairobi,,Nairobi,0,0.0,2,1.0,,25.0,,Entire fully furnished house,2017-06-29 22:03:28.307923,-1.214677,36.882671,0101000020E61000005610035DFB70424018416326516FF3BF
7013318,1413,27981429,Entire home/apt,,Nairobi,,Nairobi,0,0.0,4,2.0,,1450.0,,spring valley westlands off peponi,2017-06-29 22:02:45.313472,-1.247157,36.787052,0101000020E61000002E20B41EBE644240BAA3FFE55AF4F3BF
